"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:17:18,0248967","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"15:17:18,0250440","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0251111","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","CreationTime: 21/11/2010 05:24:25, LastAccessTime: 21/11/2010 05:24:25, LastWriteTime: 21/11/2010 05:24:25, ChangeTime: 17/01/2024 12:14:57, FileAttributes: A"
"15:17:18,0251186","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"15:17:18,0251979","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0252688","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:18,0252756","AdwereCleaner.exe","3984","QueryStandardInformationFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","AllocationSize: 122.880, EndOfFile: 119.808, NumberOfLinks: 2, DeletePending: False, Directory: False"
"15:17:18,0252890","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:18,0253174","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"15:17:18,0254673","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0255411","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","CreationTime: 21/11/2010 05:24:25, LastAccessTime: 21/11/2010 05:24:25, LastWriteTime: 21/11/2010 05:24:25, ChangeTime: 17/01/2024 12:14:57, FileAttributes: A"
"15:17:18,0255506","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"15:17:18,0256501","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0257404","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:18,0257787","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:18,0258928","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"15:17:18,0328008","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\rpcss.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:17:18,0329785","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\rpcss.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:17:18,0334219","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\uxtheme.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0334949","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\SysWOW64\uxtheme.dll","SUCCESS","CreationTime: 14/07/2009 01:39:11, LastAccessTime: 14/07/2009 01:39:11, LastWriteTime: 14/07/2009 03:11:24, ChangeTime: 17/01/2024 12:14:57, FileAttributes: A"
"15:17:18,0335054","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\uxtheme.dll","SUCCESS",""
"15:17:18,0335894","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\uxtheme.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0336644","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\uxtheme.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:18,0337054","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\uxtheme.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:18,0338122","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\uxtheme.dll","SUCCESS",""
"15:17:18,0355617","AdwereCleaner.exe","3984","CreateFile","C:\Users\user\Desktop\malware1\S10L2\SHFOLDER.DLL","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:17:18,0357031","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0358872","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","CreationTime: 14/07/2009 01:40:14, LastAccessTime: 14/07/2009 01:40:14, LastWriteTime: 14/07/2009 03:16:14, ChangeTime: 17/01/2024 12:14:15, FileAttributes: A"
"15:17:18,0358958","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS",""
"15:17:18,0359774","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0360492","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\shfolder.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:18,0360576","AdwereCleaner.exe","3984","QueryStandardInformationFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","AllocationSize: 8.192, EndOfFile: 7.168, NumberOfLinks: 2, DeletePending: False, Directory: False"
"15:17:18,0360681","AdwereCleaner.exe","3984","ReadFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:18,0366437","AdwereCleaner.exe","3984","ReadFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","Offset: 6.656, Length: 512, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:18,0370733","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:18,0371491","AdwereCleaner.exe","3984","ReadFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","Offset: 1.024, Length: 3.584, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:18,0375829","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS",""
"15:17:18,0376021","AdwereCleaner.exe","3984","ReadFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","Offset: 5.120, Length: 1.536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:18,0415756","AdwereCleaner.exe","3984","ReadFile","C:\Windows\SysWOW64\shfolder.dll","SUCCESS","Offset: 4.608, Length: 512, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:18,0421600","AdwereCleaner.exe","3984","ReadFile","C:\Windows\SysWOW64\shell32.dll","SUCCESS","Offset: 1.173.504, Length: 8.192, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:17:18,0448783","AdwereCleaner.exe","3984","CreateFile","C:\Windows\Globalization\Sorting\SortDefault.nls","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"15:17:18,0449262","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\Globalization\Sorting\SortDefault.nls","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:18,0449385","AdwereCleaner.exe","3984","QueryStandardInformationFile","C:\Windows\Globalization\Sorting\SortDefault.nls","SUCCESS","AllocationSize: 2.945.024, EndOfFile: 2.944.004, NumberOfLinks: 2, DeletePending: False, Directory: False"
